rung,name,bus,p_nom,marginal_cost,marginal_cost_quadratic,p_nom_extendable,p_nom_min,p_nom_max,e_sum_min,capital_cost,e_sum_max,p_nom_set,ramp_limit_up,ramp_limit_down,carrier,efficiency,p_min_pu,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,ramp_limit_start_up,ramp_limit_shut_down,p_nom_mod,up_time_before
rung10_quadratic_costs,steam,a,80.0,5.0,0.08,,,,,,,,,,,,,,,,,,,,,,
rung10_quadratic_costs,engine,a,80.0,20.0,0.01,,,,,,,,,,,,,,,,,,,,,,
rung1_transport,coal,north,100.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
rung1_transport,gas,south,100.0,30.0,,,,,,,,,,,,,,,,,,,,,,,
rung1_transport,must_run,south,10.0,,,,,,,,,,,,,,,,,,,,,,,,
rung2_storage,gas,grid,80.0,,,,,,,,,,,,,,,,,,,,,,,,
rung3_expansion,wind,grid,,,,True,5.0,80.0,40.0,50.0,,,,,,,,,,,,,,,,,
rung3_expansion,gas,grid,60.0,40.0,,,,,,,70.0,,,,,,,,,,,,,,,,
rung3_expansion,solar,grid,,,,True,,40.0,,60.0,,15.0,,,,,,,,,,,,,,,
rung4_ramps,coal,grid,80.0,10.0,,,,,,,,,0.2,0.2,,,,,,,,,,,,,
rung4_ramps,peaker,grid,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,
rung5_global_constraints,coal,grid,60.0,10.0,,,,,,,,,,,coal,0.35,,,,,,,,,,,
rung5_global_constraints,gas,grid,60.0,25.0,,,,,,,,,,,gas,0.5,,,,,,,,,,,
rung5_global_constraints,wind,grid,60.0,40.0,,,,,,,,,,,wind,,,,,,,,,,,,
rung6_kvl,hydro,a,80.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
rung6_kvl,diesel,b,80.0,50.0,,,,,,,,,,,,,,,,,,,,,,,
rung7_commitment,base,grid,50.0,10.0,,,,,,,,,0.5,0.5,,,0.4,True,100.0,50.0,5.0,3.0,2.0,0.6,0.6,,
rung7_commitment,peaker,grid,100.0,80.0,,,,,,,,,,,,,,,,,,,,,,,
rung8_modular_big_m,block,grid,,20.0,,True,,100.0,,30.0,,,,,,,0.2,True,,,,,,,,25.0,0.0
rung8_modular_big_m,flex,grid,,10.0,,True,,80.0,,50.0,,,0.25,0.25,,,0.3,True,,,,,,,,,0.0
rung8_modular_big_m,backstop,grid,200.0,300.0,,,,,,,,,,,,,,,,,,,,,,,
rung9_multilink,well,gas,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
rung9_multilink,grid_import,power,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,
