rung,name,bus,p_set
rung10_quadratic_costs,town,a,
rung10_quadratic_costs,village,b,15.0
rung1_transport,north_load,north,30.0
rung1_transport,south_load,south,40.0
rung2_storage,town,grid,30.0
rung3_expansion,town,grid,40.0
rung3_expansion,island_load,island,10.0
rung4_ramps,town,grid,
rung4_ramps,east_load,east,
rung5_global_constraints,town,grid,50.0
rung6_kvl,town,c,45.0
rung7_commitment,town,grid,
rung8_modular_big_m,town,grid,
rung9_multilink,homes,power,20.0
rung9_multilink,district,heat,18.0
