component,name,attribute,snapshot,value
Generator,Manchester Wind,p_max_pu,0,0.930019875
Generator,Manchester Wind,p_max_pu,1,0.4857475804
Generator,Manchester Wind,p_max_pu,2,0.2336917351
Generator,Manchester Wind,p_max_pu,3,0.2576042221
Generator,Manchester Wind,p_max_pu,4,0.6269055694
Generator,Manchester Wind,p_max_pu,5,0.6035984088
Generator,Manchester Wind,p_max_pu,6,0.6789075462
Generator,Manchester Wind,p_max_pu,7,0.3613026112
Generator,Manchester Wind,p_max_pu,8,0.6216040549
Generator,Manchester Wind,p_max_pu,9,0.5215183715
Generator,Frankfurt Wind,p_max_pu,0,0.5590784039
Generator,Frankfurt Wind,p_max_pu,1,0.7529103711
Generator,Frankfurt Wind,p_max_pu,2,0.1234650887
Generator,Frankfurt Wind,p_max_pu,3,0.9666766524
Generator,Frankfurt Wind,p_max_pu,4,0.8590078044
Generator,Frankfurt Wind,p_max_pu,5,0.5261537924
Generator,Frankfurt Wind,p_max_pu,6,0.077893008
Generator,Frankfurt Wind,p_max_pu,7,0.0590234716
Generator,Frankfurt Wind,p_max_pu,8,0.2485544952
Generator,Frankfurt Wind,p_max_pu,9,0.1080601728
Generator,Norway Wind,p_max_pu,0,0.9745832033
Generator,Norway Wind,p_max_pu,1,0.4812903778
Generator,Norway Wind,p_max_pu,2,0.4072258018
Generator,Norway Wind,p_max_pu,3,0.5999649628
Generator,Norway Wind,p_max_pu,4,0.524468219
Generator,Norway Wind,p_max_pu,5,0.0096927054
Generator,Norway Wind,p_max_pu,6,0.2204533621
Generator,Norway Wind,p_max_pu,7,0.8239185004
Generator,Norway Wind,p_max_pu,8,0.5562297265
Generator,Norway Wind,p_max_pu,9,0.4394160378
Load,London,p_set,0,35.7962441027
Load,London,p_set,1,976.8245614698
Load,London,p_set,2,250.5873120464
Load,London,p_set,3,130.7531445827
Load,London,p_set,4,151.1001686
Load,London,p_set,5,931.857051942
Load,London,p_set,6,289.8482871447
Load,London,p_set,7,864.3433217147
Load,London,p_set,8,689.5772637703
Load,London,p_set,9,627.8789859434
Load,Norwich,p_set,0,415.4625642653
Load,Norwich,p_set,1,262.6061464526
Load,Norwich,p_set,2,418.4763531902
Load,Norwich,p_set,3,552.9595393098
Load,Norwich,p_set,4,218.159858091
Load,Norwich,p_set,5,791.9762655836
Load,Norwich,p_set,6,531.8706808219
Load,Norwich,p_set,7,23.5134667186
Load,Norwich,p_set,8,970.0590684572
Load,Norwich,p_set,9,0.9248336907
Load,Frankfurt,p_set,0,398.0478469638
Load,Frankfurt,p_set,1,432.4361062425
Load,Frankfurt,p_set,2,379.8039282662
Load,Frankfurt,p_set,3,868.3617642835
Load,Frankfurt,p_set,4,548.7707546221
Load,Frankfurt,p_set,5,828.6652426012
Load,Frankfurt,p_set,6,449.2907519075
Load,Frankfurt,p_set,7,699.1637663734
Load,Frankfurt,p_set,8,915.8667802518
Load,Frankfurt,p_set,9,414.8876464034
Load,Bremen,p_set,0,640.0863775411
Load,Bremen,p_set,1,703.554333706
Load,Bremen,p_set,2,440.8361303183
Load,Bremen,p_set,3,612.5763056818
Load,Bremen,p_set,4,803.4367808051
Load,Bremen,p_set,5,605.4006873582
Load,Bremen,p_set,6,641.0905902397
Load,Bremen,p_set,7,408.0085411725
Load,Bremen,p_set,8,912.2477761646
Load,Bremen,p_set,9,898.0530916423
Load,Norway,p_set,0,820.035835936
Load,Norway,p_set,1,854.8340468618
Load,Norway,p_set,2,42.550744351
Load,Norway,p_set,3,647.5482327851
Load,Norway,p_set,4,884.0738733306
Load,Norway,p_set,5,509.0624485516
Load,Norway,p_set,6,595.6079648147
Load,Norway,p_set,7,291.6424496984
Load,Norway,p_set,8,2.1534925491
Load,Norway,p_set,9,760.7401765038
Load,Manchester,p_set,0,857.5514402011
Load,Manchester,p_set,1,750.5996237166
Load,Manchester,p_set,2,156.5648760141
Load,Manchester,p_set,3,527.8708221189
Load,Manchester,p_set,4,83.8977589634
Load,Manchester,p_set,5,676.6233193474
Load,Manchester,p_set,6,731.1371004827
Load,Manchester,p_set,7,553.3448891847
Load,Manchester,p_set,8,298.338082262
Load,Manchester,p_set,9,768.2905859888
