component,name,attribute,snapshot,value
Load,town15,p_set,0,20
Load,town15,p_set,1,30
Load,town15,p_set,2,25
Load,town15,p_set,3,20
Load,town15,p_set,4,35
Load,town15,p_set,5,45
Load,town15,p_set,6,40
Load,town15,p_set,7,30
Load,port15,p_set,0,10
Load,port15,p_set,1,20
Load,port15,p_set,2,15
Load,port15,p_set,3,10
Load,port15,p_set,4,30
Load,port15,p_set,5,40
Load,port15,p_set,6,35
Load,port15,p_set,7,25
Generator,wind20,p_max_pu,0,0.8
Generator,wind20,p_max_pu,1,0.6
Generator,wind20,p_max_pu,2,0.7
Generator,wind20,p_max_pu,3,0.5
Generator,wind20,p_max_pu,4,0.8
Generator,wind20,p_max_pu,5,0.6
Generator,wind20,p_max_pu,6,0.7
Generator,wind20,p_max_pu,7,0.5
Generator,wind30,p_max_pu,0,0.9
Generator,wind30,p_max_pu,1,0.7
Generator,wind30,p_max_pu,2,0.6
Generator,wind30,p_max_pu,3,0.8
Generator,wind30,p_max_pu,4,0.9
Generator,wind30,p_max_pu,5,0.7
Generator,wind30,p_max_pu,6,0.6
Generator,wind30,p_max_pu,7,0.8
