rung,snapshot,objective,stores,generators
rung10_quadratic_costs,0,1.0,1.0,1.0
rung10_quadratic_costs,1,1.0,1.0,1.0
rung10_quadratic_costs,2,1.0,1.0,1.0
rung10_quadratic_costs,3,1.0,1.0,1.0
rung1_transport,0,1.0,1.0,1.0
rung1_transport,1,1.0,1.0,1.0
rung1_transport,2,1.0,1.0,1.0
rung1_transport,3,1.0,1.0,1.0
rung2_storage,0,1.0,1.0,1.0
rung2_storage,1,1.0,1.0,1.0
rung2_storage,2,1.0,1.0,1.0
rung2_storage,3,1.0,1.0,1.0
rung3_expansion,0,1.0,1.0,1.0
rung3_expansion,1,1.0,1.0,1.0
rung3_expansion,2,1.0,1.0,1.0
rung3_expansion,3,1.0,1.0,1.0
rung4_ramps,0,1.0,1.0,1.0
rung4_ramps,1,1.0,1.0,1.0
rung4_ramps,2,1.0,1.0,1.0
rung4_ramps,3,1.0,1.0,1.0
rung5_global_constraints,0,1.0,1.0,1.0
rung5_global_constraints,1,1.0,1.0,1.0
rung5_global_constraints,2,1.0,1.0,1.0
rung5_global_constraints,3,1.0,1.0,1.0
rung6_kvl,0,1.0,1.0,1.0
rung6_kvl,1,1.0,1.0,1.0
rung6_kvl,2,1.0,1.0,1.0
rung6_kvl,3,1.0,1.0,1.0
rung7_commitment,0,1.0,1.0,1.0
rung7_commitment,1,1.0,1.0,1.0
rung7_commitment,2,1.0,1.0,1.0
rung7_commitment,3,1.0,1.0,1.0
rung8_modular_big_m,0,1.0,1.0,1.0
rung8_modular_big_m,1,1.0,1.0,1.0
rung8_modular_big_m,2,1.0,1.0,1.0
rung8_modular_big_m,3,1.0,1.0,1.0
rung9_multilink,0,1.0,1.0,1.0
rung9_multilink,1,1.0,1.0,1.0
rung9_multilink,2,1.0,1.0,1.0
rung9_multilink,3,1.0,1.0,1.0
