rung,component,name,attribute,snapshot,value
rung10_quadratic_costs,Load,town,p_set,0,30.0
rung10_quadratic_costs,Load,town,p_set,1,50.0
rung10_quadratic_costs,Load,town,p_set,2,40.0
rung10_quadratic_costs,Load,town,p_set,3,60.0
rung1_transport,Generator,must_run,p_set,0,5.0
rung1_transport,Generator,must_run,p_set,1,5.0
rung1_transport,Generator,must_run,p_set,2,5.0
rung1_transport,Generator,must_run,p_set,3,5.0
rung1_transport,Link,wire,p_set,0,10.0
rung1_transport,Link,wire,p_set,1,
rung1_transport,Link,wire,p_set,2,
rung1_transport,Link,wire,p_set,3,
rung2_storage,Generator,gas,marginal_cost,0,10.0
rung2_storage,Generator,gas,marginal_cost,1,10.0
rung2_storage,Generator,gas,marginal_cost,2,60.0
rung2_storage,Generator,gas,marginal_cost,3,60.0
rung2_storage,StorageUnit,battery,p_set,0,0.0
rung2_storage,StorageUnit,battery,p_set,1,
rung2_storage,StorageUnit,battery,p_set,2,
rung2_storage,StorageUnit,battery,p_set,3,
rung2_storage,StorageUnit,reservoir,state_of_charge_set,0,
rung2_storage,StorageUnit,reservoir,state_of_charge_set,1,
rung2_storage,StorageUnit,reservoir,state_of_charge_set,2,
rung2_storage,StorageUnit,reservoir,state_of_charge_set,3,10.0
rung2_storage,StorageUnit,reservoir,inflow,0,12.0
rung2_storage,StorageUnit,reservoir,inflow,1,12.0
rung2_storage,StorageUnit,reservoir,inflow,2,12.0
rung2_storage,StorageUnit,reservoir,inflow,3,12.0
rung2_storage,Store,cavern,e_set,0,
rung2_storage,Store,cavern,e_set,1,
rung2_storage,Store,cavern,e_set,2,
rung2_storage,Store,cavern,e_set,3,20.0
rung3_expansion,Generator,wind,p_max_pu,0,0.3
rung3_expansion,Generator,wind,p_max_pu,1,0.8
rung3_expansion,Generator,wind,p_max_pu,2,0.5
rung3_expansion,Generator,wind,p_max_pu,3,0.9
rung3_expansion,Generator,solar,p_max_pu,0,0.5
rung3_expansion,Generator,solar,p_max_pu,1,0.6
rung3_expansion,Generator,solar,p_max_pu,2,0.4
rung3_expansion,Generator,solar,p_max_pu,3,0.2
rung4_ramps,Load,town,p_set,0,20.0
rung4_ramps,Load,town,p_set,1,60.0
rung4_ramps,Load,town,p_set,2,80.0
rung4_ramps,Load,town,p_set,3,30.0
rung4_ramps,Load,east_load,p_set,0,5.0
rung4_ramps,Load,east_load,p_set,1,20.0
rung4_ramps,Load,east_load,p_set,2,25.0
rung4_ramps,Load,east_load,p_set,3,10.0
rung6_kvl,Line,bc,s_set,0,10.0
rung6_kvl,Line,bc,s_set,1,
rung6_kvl,Line,bc,s_set,2,
rung6_kvl,Line,bc,s_set,3,
rung7_commitment,Load,town,p_set,0,25.0
rung7_commitment,Load,town,p_set,1,45.0
rung7_commitment,Load,town,p_set,2,45.0
rung7_commitment,Load,town,p_set,3,10.0
rung8_modular_big_m,Load,town,p_set,0,40.0
rung8_modular_big_m,Load,town,p_set,1,80.0
rung8_modular_big_m,Load,town,p_set,2,120.0
rung8_modular_big_m,Load,town,p_set,3,60.0
